iso.country,Name,Ref_Area_Type,RC_Region,RC_UNSDCode,groupname,RC_Name,iso.group
48,Bahrain,3.0-Country,ESCWA_ALL,98500,ESCWA: All countries,ESCWA,
368,Iraq,3.0-Country,ESCWA_ALL,98500,ESCWA: All countries,ESCWA,
400,Jordan,3.0-Country,ESCWA_ALL,98500,ESCWA: All countries,ESCWA,
414,Kuwait,3.0-Country,ESCWA_ALL,98500,ESCWA: All countries,ESCWA,
422,Lebanon,3.0-Country,ESCWA_ALL,98500,ESCWA: All countries,ESCWA,
434,Libya,3.0-Country,ESCWA_ALL,98500,ESCWA: All countries,ESCWA,
478,Mauritania,3.0-Country,ESCWA_ALL,98500,ESCWA: All countries,ESCWA,
504,Morocco,3.0-Country,ESCWA_ALL,98500,ESCWA: All countries,ESCWA,
512,Oman,3.0-Country,ESCWA_ALL,98500,ESCWA: All countries,ESCWA,
634,Qatar,3.0-Country,ESCWA_ALL,98500,ESCWA: All countries,ESCWA,
682,Saudi Arabia,3.0-Country,ESCWA_ALL,98500,ESCWA: All countries,ESCWA,
760,Syrian Arab Republic,3.0-Country,ESCWA_ALL,98500,ESCWA: All countries,ESCWA,
784,United Arab Emirates,3.0-Country,ESCWA_ALL,98500,ESCWA: All countries,ESCWA,
788,Tunisia,3.0-Country,ESCWA_ALL,98500,ESCWA: All countries,ESCWA,
818,Egypt,3.0-Country,ESCWA_ALL,98500,ESCWA: All countries,ESCWA,
275,State of Palestine,3.0-Country,ESCWA_ALL,98500,ESCWA: All countries,ESCWA,
736,Sudan [former],3.0-Country,ESCWA_ALL,98500,ESCWA: All countries,ESCWA,
887,Yemen,3.0-Country,ESCWA_ALL,98500,ESCWA: All countries,ESCWA,
12,Algeria,3.0-Country,Arab,98501,ESCWA: Arab countries,ESCWA,
48,Bahrain,3.0-Country,Arab,98501,ESCWA: Arab countries,ESCWA,
174,Comoros,3.0-Country,Arab,98501,ESCWA: Arab countries,ESCWA,
262,Djibouti,3.0-Country,Arab,98501,ESCWA: Arab countries,ESCWA,
368,Iraq,3.0-Country,Arab,98501,ESCWA: Arab countries,ESCWA,
